7:123144,71373,117482,50683,15204,40096,101150,19305,86632,79711
18:118142,10286,45206,104265,106972,30476,121220,122148,25236,86269
19:38244,72996,6917,45686,17391,104421,60684,45418,114659,98698
36:38347,65829,90231,73649,3589,61617,107740,11669,121424,65047
37:45028,85560,71081,72457,80403,35428,28543,44816,109724,17573
41:55274,61443,110448,65114,106977,47525,113413,45562,68866,50678
42:64828,44800,86228,53629,21461,89453,33259,41272,69771,11882
43:89882,15018,77222,104591,63220,109014,107589,28721,59928,20624
44:53064,46043,61096,121257,100006,14,9674,107942,40900,111690
45:19275,34965,8218,27598,46289,43279,22800,71465,45473,51228
46:47719,32549,9305,50855,122390,19471,25501,108232,10459,46007
59:91672,71643,97971,61887,66523,70848,94769,86834,92542,39775
60:22652,24978,60442,33029,123066,103320,59201,44149,74857,122053
69:23237,100792,100759,40646,60557,114082,75044,64295,18680,67689
70:78128,77275,118250,122354,38657,113037,42838,60312,64971,105272
94:82195,109014,80030,58403,12742,97623,70098,81763,49752,112662
106:101206,102309,20462,25451,39613,76472,97950,108469,34220,101176
115:13997,84040,39866,107594,102196,26745,985,13350,84987,35352
116:4904,87953,7933,77071,10886,34222,6842,95652,112284,48257
142:15119,40419,35697,81001,120479,18921,58807,109094,108665,59873
143:21265,103483,94748,90093,59005,72166,122336,33776,70772,51890
148:92883,81616,38417,115233,60568,72009,28473,2824,61596,91648
150:48128,19676,76776,33908,44749,12761,22439,42908,55002,92093
156:107364,112337,90218,35439,9472,70764,33774,113509,102634,39394
161:63551,40459,60442,60930,70829,45660,65497,50307,123182,28487
171:56525,120835,26462,83825,97154,40100,28564,32379,81681,18094
172:19055,15272,103121,2773,119010,78180,18189,87767,55960,93980
174:92152,18213,81310,52680,83161,44475,92442,16925,119912,37932
177:32906,62738,16530,57914,60554,17560,38082,85693,108149,62085
196:28074,12622,106258,71533,104948,55803,53593,50444,110814,85647
202:89794,13705,12979,101689,62352,34833,107538,40985,13450,63741
211:49666,69782,98723,87070,46188,21520,117823,70459,35808,178
217:104557,103060,108552,57017,35777,96609,100026,109686,80248,66763
220:40525,36529,78516,54696,43579,90934,83581,35531,55110,26816
223:82778,70316,18953,28459,28548,11528,94130,109847,120495,60365
224:856,108524,14045,91060,28515,116649,47960,73673,104177,67518
225:69841,34304,67944,75900,37606,107943,76686,18043,24676,108940
228:12521,65649,37667,10345,93526,20320,15427,53051,16132,108890
229:77235,46413,6113,10845,48043,57910,106645,68451,57016,81524
231:42333,107160,80225,7710,112539,75056,35127,9664,6004,97613
232:41353,16599,1671,29909,25874,122538,75942,33883,64189,108771
